ReportNetEnvelopeFileId,flarepCode,aggCode,aggName,flaggComments,flaggEUFund,flaggEUFundName,flaggExpecDateCompletion,flaggExpecDateStart,flaggExpecDateStartWork,flaggExpLoad,flaggExpLoadColl,flaggExpLoadIAS,flaggInv,flaggLoan,flaggLoanName,flaggMeasures,flaggOtherFund,flaggOtherFundName,flaggReasons,flaggStatus
60341,EL_UWWTD_2022,EL12601701,SIDIROKASTRO,,4.9215,Cohesion fund (CF),20231231,20161031,20221231,5363,100,0,5.79,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL14202801,FARSALA,,2.38,Cohesion fund (CF),20230718,20211231,20220118,9117,100,0,2.8,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL14401301,ICHALIA,,0.17,Cohesion fund (CF),20231231,20181231,20191231,2360,100,0,0.2,,,Completion of residents connection works,,,Collecting system constructed but not yet operational until the completion of UWWTP expansion  ,NC
60370,RO08,ROAG_97447,Halaucesti,,,,20271231,20110101,20120101,5863,100,0,3.8,,,Extension of the collecting system; ,3.8,"National budget, local budget",low level of waste waters collection,NC
60370,RO08,ROAG_151512,Hantesti,,1.75,CF,20271231,20130101,20140101,3461,100,0,2.5,,,Extension of the collecting system; ,0.75,OF,Low collecting rate of the urban wastewater,NC
60351,HR_Art17_2020,HRAG_0101060,Jakovlje,,1.1,CF,20321231,20281231,20290331,3797,,,2.06,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,C
60351,HR_Art17_2020,HRAG_0001032,Janjina,,1.72,CF,20321231,20281231,20290331,2016,,,2.84,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,PD
60351,HR_Art17_2020,HRAG_0007061,Jarmina,,0.73,CF,20321231,20281231,20290331,2022,,,1.13,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,C
60369,IT008,IT18Q90000001554,Oriolo ,,0.334,ERDF,20251231,20221231,20231231,,,,0.334,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001640,Palermiti,,0.22,ERDF,20251231,20221231,20231231,,,,0.22,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001735,Palizzi,,,,20251231,20221231,20231231,,,,6.43,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60350,LU100,LU_AGGL_129_01,Wormeldange,,0,,20241231,20091218,20210101,2643,100,0,8,0,,to be connected to uwwtp of Grevenmacher,0,,new requirements,NC
60369,IT008,IT18Q90000001557,Paola,,4.275,ERDF,20251231,20221231,20231231,,,,4.275,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001558,Parenti ,,0.3,ERDF,20251231,20221231,20231231,,,,0.3,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001682,Parghelia,,,,20251231,20221231,20231231,,,,15,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60370,RO08,ROAG_99584,Harmanesti,,0.61,CF,20271231,20150101,20170101,2332,100,0,0.87,,,Extension of the collecting system; ,0.26,Local budget,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_151549,Hartop,,,,20271231,20130101,20140101,2765,100,0,1.53,,,Extension of the collecting system; ,1.53,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_22905,Helegiu,fara receptie,2.04,EARDF,20271231,20110101,20120101,4360,100,0,2.91,,,Extension of the collecting system; ,0.87,OF,Low collecting rate of the urban wastewater,NC
60351,HR_Art17_2020,HRAG_0004039,Jastrebarsko,,0.05,CF,20221231,20170508,20171027,12110,,,0.07,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0101207,Jelsa-Vrboska,,13.55,CF,20231130,20200830,20200915,8954,,,19.82,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,PD
60351,HR_Art17_2020,HRAG_0002002,Josipdol,,1.15,CF,20321231,20281231,20290331,2359,,,1.86,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,C
60351,HR_Art17_2020,HRAG_0001034,Kali,,0.8,CF,20271231,20240630,20240731,2862,,,1.26,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,PD
60351,HR_Art17_2020,HRAG_0003056,Kanfanar,,0.71,CF,20321231,20281231,20290331,2782,,,1.19,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0004054,Lipovljani,,0.11,CF,20321231,20281231,20290331,2077,,,0.3,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0001052,Lopar,,0.28,CF,20291231,20261230,20270331,11647,,,0.64,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0005025,Ludbreg,,9.64,CF,20291231,20251231,20260331,8779,,,14.88,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60370,RO08,ROAG_176454,Homocea,,,,20271231,20160101,20170101,7200,100,0,0.2,,,Extension of the collecting system,0.2,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_22950,Horgesti,,2.63,EARDF,20271231,20170101,20191231,4960,100,0,2.63,,,Extension of the collecting system; ,,,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_120931,Horia,nu functioneaza - lipsa racorduri,,,20271231,20150101,20160101,7846,100,0,0.77,,,Extension of the collecting system; ,0.77,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_149129,Horodnic ,,0.53,EARDF,20271231,20130101,20140101,7819,100,0,0.75,,,Construction of the collecting system; ,0.22,OF,Absence of collection and IAS,NC
60370,RO08,ROAG_97474,Helesteni,,,,20271231,20110101,20120101,2764,98,2,0.19,,,Extension of the collecting system; ,0.19,"National budget, local budget",Low collecting rate of the urban wastewater,NC
60369,IT008,IT18Q90000001642,Pentone,,1.19,ERDF,20251231,20221231,20231231,,,,1.19,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001586,Santa Agata d'Esaro,,1.13,ERDF,20251231,20221231,20231231,,,,1.13,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60370,RO08,ROAG_23056,Huruiesti,,,,20271231,20120101,20130101,2703,100,0,0.5,,,Extension of the collecting system; ,0.5,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_151442,Iaslovat (comuna Iaslovat); Bondareni (comuna Arbore),,0.81,CF,20271231,20130101,20140101,4253,100,0,1.16,,,Extension of the collecting system; ,0.35,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_147660,Ilisesti,,1.5,CF,20271231,20120101,20140101,2444,100,0,2.14,,,Extension of the collecting system; ,0.64,OF,Low collecting rate of the urban wastewater,NC
60351,HR_Art17_2020,HRAG_0001056,Lumbarda,,0.86,CF,20321231,20281231,20290331,3278,,,1.47,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0001058,Makarska,,0.58,CF,20291231,20261230,20270331,39888,,,1.06,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0101114,Mala Buna,,1.14,CF,20321231,20281231,20290331,3276,,,2,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,PD
60351,HR_Art17_2020,HRAG_0001060,Mali Lošinj,,8.18,CF,20240419,20210715,20210819,15632,,,12.08,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0001062,Malostonski zaljev,,3.41,CF,20291231,20261230,20270331,15777,,,5.26,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,NC
60351,HR_Art17_2020,HRAG_0101057,Mandre,,1.43,CF,20321231,20281231,20290331,9575,,,2.32,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,PD
60351,HR_Art17_2020,HRAG_0001063,Marina,,5.01,CF,20321231,20281231,20290331,3461,,,8.11,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,PD
60351,HR_Art17_2020,HRAG_0101359,Mimice,,1.66,CF,20321231,20281231,20290331,3386,,,2.69,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,PD
60369,IT008,IT18Q90000001627,Santa Caterina dello Jonio,,,,20251231,20221231,20231231,,,,0.6,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60370,RO08,ROAG_123111,Ion Creanga,,,,20271231,20120101,20130101,2840,100,0,1.87,,,Extension of the collecting system; ,1.87,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_146290,Ipotesti,,0.6,CF,20271231,20130101,20140101,3829,100,0,0.86,,,Extension of the collecting system; ,0.26,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_97820_01,Iugani,,,,20271231,20120101,20130101,2358,100,0,0.35,,,Extension of the collecting system; ,0.35,OF,NR,NC
60369,IT008,IT18Q90000001584,Santa Maria del Cedro,,,,20251231,20221231,20231231,,,,10,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001670,Santa Severina,,1.032,ERDF,20251231,20221231,20231231,,,,1.032,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60370,RO08,ROAG_176515,Jaristea,,2.5,CF,20231231,20110101,20121231,4764,98,2,2.67,,,Extension of the collecting system,0.17,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_97615,Lespezi,,1.01,CF,20271231,20110101,20120101,5438,100,0,1.01,,,Extension of the collecting system; ,,,low level of waste waters collection,NC
60361,LV008,LV74135,Lielvārde,,3.130056,CF,20231231,20160101,20170601,,,,5.029432,,,extension of a collection system,,,need to extend a collection system,NC
60361,LV008,LV76115,Līvāni,,3.316362,CF,20231231,20160101,20170601,,,,3.901603,,,extension of a collection system,,,need to extend a collection system,NC
60361,LV008,LV68015,Ludza,,1.947021,CF,20231231,20160101,20170601,,,,2.7072,,,extension of a collection system,,,need to extend a collection system,NC
60351,HR_Art17_2020,HRAG_0001064,Martinšćica,,0.37,CF,20240419,20210715,20210819,2654,,,0.55,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0001066,Medulin,,1.92,CF,20281231,20241231,20250331,19691,,,3.22,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0001067,Metković,,19.17,CF,20240217,20210201,20210217,15062,,,27.14,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,NC
60370,RO08,ROAG_149236,Liteni,,,,20231231,20150101,20160101,4656,98,2,3.87,,,Extension of the collecting system; ,3.87,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_23298,Livezi,,,,20271231,20120101,20130101,5694,100,0,0.5,,,Extension of the collecting system; ,0.5,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_84754,Lunca de Jos,,0.89,CF,20271231,20110101,20120101,5321,100,0,0.89,,,Extension of the collecting system; ,,,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_84656,Lunca de Sus,,4,CF,20271231,20110101,20120101,3527,100,0,4,,,Extension of the collecting system; ,,,Low collecting rate of the urban wastewater,NC
60369,IT008,IT18Q90000001588,Santa Sofia D'Epiro ,,1.3,ERDF,20251231,20221231,20231231,,,,1.3,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001589,Saracena,,,,20251231,20221231,20231231,,,,0.65,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001671,Savelli,,0.34,ERDF,20251231,20221231,20231231,,,,0.34,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001672,Scandale,,1.4,ERDF,20251231,20221231,20231231,,,,1.4,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001748,Scilla,,1.513,ERDF,20251231,20221231,20231231,,,,1.513,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001749,Seminara,,1.105,ERDF,20251231,20221231,20231231,,,,1.105,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60370,RO08,ROAG_23396,Magiresti,,2.91,CF,20271231,20120101,20130101,5472,100,0,2.91,,,Extension of the collecting system; ,,,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_176622,Maicanesti,,,,20271231,20120101,20130101,5500,100,0,0.33,,,Construction of the collecting system; ,0.33,National budget,Absence of collection and IAS,NC
60370,RO08,ROAG_149325,Malini,,0.81,EARDF,20271231,20130101,20140101,5397,100,0,0.81,,,Extension of the collecting system; ,,,Low collecting rate of the urban wastewater,NC
60361,LV008,LV78708,Malta,Amendments have been made to the project,0.549825,CF,20231231,20160101,20170601,,,,0.919132,,,extension of a collection system,,,need to extend a collection system,NC
60361,LV008,LV54668,Ozolnieki,,1.077423,CF,20231231,20160101,20170601,,,,1.395454,,,extension of a collection system,,,need to extend a collection system,NC
60361,LV008,LV64155,Priekule,,1.75271,CF,20231231,20160101,20170601,,,,2.722259,,,extension of a collection system,,,need to extend a collection system,NC
60373,BG2022,BGAG72816_00,Topolchane,"The deadline will be updated with National investment plan, in fulfillment of the ""unlocking conditions"" according to the Multiannual Financial Framework 2021-2027",,,20301231,20241231,20250101,0,98,2,10.89,,,Building a collecting system or IAS,10.89,National Budget,Absence of collection and IAS,NC
60373,BG2022,BGAG77308_00,Tsar Kaloyan,"The deadline will be updated with National investment plan, in fulfillment of the ""unlocking conditions"" according to the Multiannual Financial Framework 2021-2027",,,20301231,20241231,20250101,0,98,2,12.46,,,Building a collecting system or IAS,12.46,Flag Fund/National budget/own funds,Absence of collection and IAS,NC
60373,BG2022,BGAG49206_00,Mramor,"The deadline will be updated with National investment plan, in fulfillment of the ""unlocking conditions"" according to the Multiannual Financial Framework 2021-2027",,,20301231,20241231,20250101,0,98,2,16.72,,,Building a collecting system or IAS,16.72,Flag Fund/National budget/own funds,Absence of collection and IAS,NC
