rcaCode,rcaName,rcaEnvDom,rcaZType,rcaSpZTyp,rcaParameterN,rcaParameterP,rcaParameterM,rcaParameterOther,rcaArt58DateDesign,rcaDateArt58,rcaRemarks,rcaHyperlink,rcaBeginLife,rcaEndLife,ReportNetEnvelopeFileId
SICM-SI38VT90,VT Pesnica zadrževalnik Perniško jezero – Ormož,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI3VT197,MPVT Drava mejni odsek z Avstrijo,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI3VT359,MPVT Drava Dravograd – Maribor,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI3VT5171,VT Drava Maribor – Ptuj,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI3VT5172,MPVT zadrževalnik Ptujsko jezero,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI3VT930,VT Drava Ptuj – Ormož,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI3VT970,VT Drava zadrževalnik Ormoško jezero – Središče ob Dravi,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI432VT,VT Kučnica,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI434VT51,VT Ščavnica povirje – zadrževalnik Gajševsko jezero,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI434VT52,MPVT zadrževalnik Gajševsko jezero,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI434VT9,VT Ščavnica zadrževalnik Gajševsko jezero – Gibina,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI43VT10,VT Mura Ceršak – Petanjci,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI43VT30,VT Kučnica Mura Petanjci – Gibina,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI43VT50,VT Mura Gibina – Podturen,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI441VT,VT Velika Krka povirje – državna meja,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI4426VT1,VT Kobiljski potok povirje – državna meja,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI4426VT2,VT Kobiljski potok državna meja – Ledava,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI442VT11,VT Ledava državna meja – zadrževalnik Ledavsko jezero,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI442VT12,MPVT zadrževalnik Ledavsko jezero,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI442VT91,VT Ledava zadrževalnik Ledavsko jezero – sotočje z Veliko Krko,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI442VT92,VT Ledava mejni odsek,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI512VT11,VT Dragonja povirje – Topolovec,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI512VT12,VT Dragonja Topolovec – Brič,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI512VT3,VT Dragonja Brič – Krkavče,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI512VT51,VT Dragonja Krkavče – Podkaštel,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI512VT52,VT Dragonja Podkaštel – izliv,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI518VT3,VT Rižana povirje – izliv,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI5212VT1,MPVT zadrževalnik Klivnik,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI5212VT2,VT Klivnik,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI5212VT3,MPVT zadrževalnik Mola,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI5212VT4,VT Molja,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI52VT11,VT Reka mejni odsek - Koseze,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI52VT15,VT Reka Koseze – Bridovec,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI52VT19,VT Reka Bridovec – Škocjanske jame,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI5VT1,VT Jadransko morje,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI5VT2,VT Morje Lazaret – Ankaran,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI5VT3,MPVT Morje Koprski zaliv,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI5VT4,VT Morje Žusterna – Piran,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI5VT5,VT Morje Piranski zaliv,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI5VT6,MPVT Škocjanski zatok,,UWWCMSA,A523,1,1,0,0,,,This is artificially constructed water body since sensitive catchment area SICM-SI5VTA is on the carst area and there is no real surface water body.,,20070609,,60383
SICM-SI5VTA,VT Timav in Glinščica-Osapska reka (navidezno VT),,UWW55CMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI626VT,VT Trebuščica,,UWW55CMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI628VT,VT Bača,,UWW55CMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI62VT13,VT Idrijca povirje - Podroteja,,UWW55CMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI62VT70,VT Idrijca Podroteja – sotočje z Bačo,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI66VT101,VT Nadiža mejni odsek,,UWW55CMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI66VT102,VT Nadiža mejni odsek – Robič,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI6VT119,VT Soča povirje - Bovec,,UWW55CMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI6VT157,VT Soča Bovec – Tolmin,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI6VT330,MPVT Soča Soške elektrarne,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SILK-SI1128VT,VTJ Blejsko jezero,,UWWLKSA,A523,1,1,0,0,,,,,20070609,,60383
SILK-SI112VT3,VTJ Bohinjsko jezero,,UWWLKSA,A523,1,1,0,0,,,,,20070609,,60383
SILK-SI141VT2,VTJ Cerkniško jezero,,UWWLKSA,A523,1,1,0,0,,,,,20010513,,60383
SILK-SI1668VT,MPVT zadrževalnik Šmartinsko jezero,,UWWLKSA,A523,1,1,0,0,,,,,20070609,,60383
SILK-SI168VT3,MPVT zadrževalnik Slivniško jezero,,UWWLKSA,A523,1,1,0,0,,,,,20070609,,60383
SILK-SI38VT34,MPVT zadrževalnik Perniško jezero,,UWWLKSA,A523,1,1,0,0,,,,,20010513,,60383
SILK-SI434VT52,MPVT zadrževalnik Gajševsko jezero,,UWWLKSA,A523,1,1,0,0,,,,,20010513,,60383
SILK-SI442VT12,MPVT zadrževalnik Ledavsko jezero,,UWWLKSA,A523,1,1,0,0,,,,,20010513,,60383
SILK-SI5212VT1,MPVT zadrževalnik Klivnik,,UWWLKSA,A523,1,1,0,0,,,,,20010513,,60383
SILK-SI5212VT3,MPVT zadrževalnik Mola,,UWWLKSA,A523,1,1,0,0,,,,,20010513,,60383
LU100,Luxembourg,,UWWCMSA,A58523,1,1,0,0,19940513,19981231,,,,,60304
IECM_EA_1994_0001,Boyne (River),,UWWCMSA,A523,0,1,0,0,,,,,,,60306
IECM_EA_2001_0026,Broadmeadow Estuary (Inner),,UWWCMSA,A523,1,0,0,0,,,,,,,60306
IECM_SE_2001_0015,Barrow (River),,UWWCMSA,A523,0,1,0,0,,,,,,,60306
IECM_SH_1994_0007,Lough Derg on the River Shannon,,UWWCMSA,A523,0,0,0,0,,,,,,,60306
IECM_SH_2010_0002,Shannon,,UWWCMSA,A523,0,0,0,0,,,,,,,60306
IECM_SW_1994_0009,Lough Leane,,UWWCMSA,A523,0,1,0,0,,,,,,,60306
IECM_SW_2001_0032,Bandon Estuary Upper,,UWWCMSA,A523,0,1,0,0,,,,,,,60306
IECM_SW_2004_0041,Lee Estuary / Lough Mahon,,UWWCMSA,A523,1,0,0,0,,,,,,,60306
IEGBNICA_NW_2001_0037,Killybegs Harbour,,UWWCMSA,A523,0,1,0,0,,,,,,,60306
IEGBNICM_NB_2001_0011,Blackwater River (Monaghan),,UWWCMSA,A523,0,1,0,0,,,,,,,60306
IEGBNILK_NB_2001_0024,"Lough Muckno, County Monaghan",,UWWLKSA,A523,0,1,0,0,,,,,,,60306
IEGBNIRI_NB_2001_0014B,Proules Upper (River),,UWWRISA,A523,0,1,0,0,,,,,,,60306
IEGBNIRI_NW_2001_0013,Cavan (River),,UWWRISA,A523,0,1,0,0,,,,,,,60306
IEGBNITW_NB_2001_0038A,Castletown Estuary,,UWWTWSA,A523,1,1,0,0,,,,,,,60306
IELK_SH_1994_0007,Lough Derg on the River Shannon,,UWWLKSA,A523,0,0,0,0,,,,,,,60306
IERI_EA_1994_0001,Boyne (River),,UWWRISA,A523,0,1,0,0,,,,,,,60306
IERI_EA_1994_0004,Liffey (River),,UWWRISA,A523,0,1,0,0,,,,,,,60306
IERI_EA_2010_0007,Liffey,,UWWRISA,A523,0,1,0,0,,,,,,,60306
ESCM507,Area de captación de la zona Embalse de Compuerto,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM508,Area de captación de la zona Embalse de Aguilar de Campoo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM509,Area de captación de la zona Embalse de La Requejada,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM510,Area de captación de la zona Embalse de Cervera-Ruesga,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM511,Area de captación de la zona Embalse de Arlanzón,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM512,Area de captación de la zona Embalse de Úzquiza,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM513,Area de captación de la zona Embalse de La Cuerda del Pozo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM514,Area de captación de la zona Embalse de Las Vencías,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM515,Area de captación de la zona Embalse de Burgomillodo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM516,Area de captación de la zona Embalse del Pontón Alto,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM517,Area de captación de la zona Embalse de Serones,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM518,Area de captación de la zona Embalse de Santa Teresa,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM519,Area de captación de la zona Embalse de Águeda,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM520,Area de captación de la zona Embalse de Los Rábanos,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM521,Area de captación de la zona Embalse de Ricobayo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM522,Area de captación de la zona Embalse de Saucelle,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM523,Area de captación de la zona Embalse de San José,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM524,Area de captación de la zona Embalse de Castro,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM525,Area de captación de la zona Embalse de Villalcampo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM526,Area de captación de la zona Embalse de Almendra,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM527,Area de captación de la zona Embalse de Aldeadávila,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM528,Area de captación de la zona Embalse de El Burguillo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM529,Area de captación de la zona Embalse de Rosarito,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM530,Area de captación de la zona Embalse de Sobrón,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM531,Area de captación de la zona Embalse de Oliana,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM532,Area de captación de la zona Embalse de Rialb,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM534,Area de captación de la zona Embalse de Ribarroja,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM535,Area de captación de la zona Embalse de Flix,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM536,Area de captación de la zona Embalse de Amadorio,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM537,Area de captación de la zona Embalse de Guadalest,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM538,Area de captación de la zona Embalse de Tous,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM539,Area de captación de la zona Embalse de Tibi,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM540,Area de captación de la zona Embalse de Beniarrés,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM541,Area de captación de la zona Embalse del Buseo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM542,Area de captación de la zona Embalse de Forata,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM543,Area de captación de la zona Embalse de El Regajo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM544,Area de captación de la zona Embalse de María Cristina o de La Benadressa,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM545,Area de captación de la zona Embalse de Bellús,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM546,Area de captación de la zona Embalse de Borbollón,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM547,Area de captación de la zona Embalse de Arrocampo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM548,Area de captación de la zona Embalse de Valdecañas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM549,Area de captación de la zona Embalse de Torrejón-Tajo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM550,Area de captación de la zona Embalse de Torrejón-Tiétar,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM551,Area de captación de la zona Embalse de Plasencia,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM552,Area de captación de la zona Embalse de Alcántara 2,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM553,Area de captación de la zona Embalse de Guadiloba-Cáceres,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM554,Area de captación de la zona Embalse del Salor,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM555,Area de captación de la zona Embalse de Cedillo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM556,Area de captación de la zona Embalse de Valdeobispo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM557,Area de captación de la zona Embalse de Portaje,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM558,Area de captación de la zona Embalse de Brovales,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM559,Area de captación de la zona Embalse de Valuengo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM560,Area de captación de la zona Embalse de Alange,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM561,Area de captación de la zona Embalse de Piedra Aguda,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM562,Area de captación de la zona Embalse de Proserpina,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM563,Area de captación de la zona Embalse de Cornalvo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM564,Area de captación de la zona Embalse de Villar del Rey,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM565,Area de captación de la zona Embalse de Orellana,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM566,Area de captación de la zona Embalse de las Conchas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM567,Area de captación de la zona Embalse de Belesar,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM568,Area de captación de la zona Embalse de Frieira,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM688,Area de captación de la zona Es Portitxol (Ibiza),,UWWCMSA,A523,0,0,1,0,,,,,,,60330
ESCM671,Area de captación de la zona El Charco de San Ginés,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM656,Area de captación de la zona La Albufera de Valencia y rambla del Poyo,,UWWCMSA,A523,0,1,1,0,,,,,,,60330
ESCM572,Area de captación de la zona Embalse de Castrejón,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM573,Area de captación de la zona Embalse de Cazalegas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM574,Area de captación de la zona Embalse de Pinilla,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM575,Area de captación de la zona Embalse de Riosequillo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM576,Area de captación de la zona Embalse de Puentes Viejas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM577,Area de captación de la zona Embalse de El Villar,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM578,Area de captación de la zona Embalse de El Atazar,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM579,Area de captación de la zona Embalse de Miraflores de la Sierra,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM580,Area de captación de la zona Embalse del Vellon o Pedrezuela,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM581,Area de captación de la zona Embalse de Manzanares El Real o de Santillana,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM582,Area de captación de la zona Embalse de Navacerrada,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM583,Area de captación de la zona Embalse de Navalmedio,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM584,Area de captación de la zona Embalse de la Jarosa,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM585,Area de captación de la zona Embalse de Valmayor,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM586,Area de captación de la zona Embalse de San Juan,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM587,Area de captación de la zona Embalse de Picadas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM588,Area de captación de la zona Embalse de El Pardo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM589,Area de captación de la zona Embalse de Argos,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM590,Area de captación de la zona Embalse de Ullibarri,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM591,Area de captación de la zona Embalse de Urrúnaga,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM592,Area de captación de la zona Embalse de Los Hurones,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM593,Area de captación de la zona Embalse de Bornos,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM594,Area de captación de la zona Embalse de Arcos de la Frontera,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM595,Area de captación de la zona Embalse de Beas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM596,Area de captación de la zona Embalse del Guadalhorce,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM597,Area de captación de la zona Embalse del Guadalteba,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM598,Area de captación de la zona La Muga desde cabecera y Embalse de Boadella,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
