ReportNetEnvelopeFileId,flatpComments,flatpEUFund,flatpEUFundName,flatpExpCapacity,flatpExpecDateCompletion,flatpExpecDatePerformance,flatpExpecDateStart,flatpExpecDateStartWork,flatpExpecTreatment,flatpExpLoad,flatpExpLoadTruck,flatpInv,flatpLoan,flatpLoanName,flatpMeasures,flatpOtherFund,flatpOtherFundName,flatpReasons,flatpStatus,flarepCode,uwwCode,uwwName
60370,,4.140269,CF,2500,20261231,20271231,20201231,20211231,2,2393,0,4.870904,,,Building of a new wastewater plant ,0.730635,National and local budget,lack of waste water treatment,NC,RO08,ROWP_101626_01,ROWP Buturugeni
60370,,,,4200,20261231,20271231,20191231,20201231,3NPm,3852,0,1.5363506,,,Building of a new wastewater plant ,1.53635061,national budget,Absence of UWWTP,NC,RO08,ROWP_152092_01,ROWP Blejesti
60370,,,,4399,20261231,20271231,20171231,20181231,3NPm,2562,0,1.5092373,,,Building of a new wastewater plant ,1.5092373,OF,lack of waste water treatment,NC,RO08,ROWP_14762_02,ROWP Bradulet
60370,,0.6545,EARDF,4500,20261231,20271231,20201231,20211231,3NP,3932,0,0.77,,,Building of a new wastewater plant ,0.1155,national budget,lack of waste water treatment,NC,RO08,ROWP_101350_01,ROWP Brezoaele 
60370,,,,4399,20261231,20271231,20161231,20181231,3NPm,3793,0,1.2084385,,,Building of a new wastewater plant ,1.20843852,OF,lack of waste water treatment,NC,RO08,ROWP_17655_01,ROWP Musatesti
60358,-,9.62128,KEHOP,27870,20231130,20241130,20201001,20201101,3NP,26686,,10.695387,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AHZ964,Satoraljaujhely - Szennyviztisztito Telep
60358,-,1.378127,KEHOP,11250,20210731,20220731,20190201,20200401,3NP,11250,,1.584125,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB284,Solt - Szennyviztisztito Telep
60358,-,0.608188,KEHOP,2500,20220930,20230930,20181001,20201201,2,2480,,0.748748,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIC036,Somogyszob - Szennyviztisztito Telep
60358,-,11.931502,KEHOP,75000,20211031,20220731,20171101,20171101,3NP,75572,,12.559475,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIA042,Szentendre - Szennyviztisztito Telep
60358,-,0.827153,KEHOP,6174,20230831,20240831,20191001,20200801,3NP,11060,,0.978,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB351,Szentistvan - Szennyviztisztito Telep
60358,-,0,KEHOP,3127,20231231,20241231,20220601,20220601,3NP,3127,,1.232105,,,new treatment plant,,,-,NC,HU-91271CQ-2022a,HU-WWTP-AIA054,Szeremle - Szennyviztisztito Telep
60370,,0.506325,CF,3000,20261231,20271231,20201231,20211231,2,2497,0,0.506325,,,Building of a new wastewater plant ,,,lack of waste water treatment,NC,RO08,ROWP_103906_01,ROWP Izvoarele
60370,,,,3500,20261231,20271231,20191231,20201231,3Pm,3322,0,1.318988,,,Building of a new wastewater plant ,1.318988,National budget,lack of waste water treatment,NC,RO08,ROWP_67657_01,ROWP Gura Sutii 
60370,,,,3700,20261231,20271231,20201231,20211231,3Nm,3519,0,0.45,,,Building of a new wastewater plant ,0.45,National budget,lack of waste water treatment,NC,RO08,ROWP_151825_01,ROWP Nanov 
60370,,,,4000,20261231,20271231,20201231,20211231,2,3664,0,0.843938,,,Building of a new wastewater plant ,0.843938,National and local budget,lack of waste water treatment,NC,RO08,ROWP_68440_01,ROWP Poiana 
60370,,0.506325,CF,2500,20261231,20271231,20201231,20211231,2,2255,0,0.506325,,,Building of a new wastewater plant ,,,lack of waste water treatment,NC,RO08,ROWP_101387_01,ROWP Bucsani
60370,,,,4000,20261231,20271231,20201231,20211231,2,3668,0,0.506325,,,Building of a new wastewater plant ,0.506325,OF,lack of waste water treatment,NC,RO08,ROWP_104644_01,ROWP Plataresti
60370,,,,3500,20261231,20271231,20201231,20211231,2,3138,0,1.8132654,,,Building of a new wastewater plant ,1.8132654,OF,Absence of UWWTP,NC,RO08,ROWP_152957_01,ROWP Furculesti 
60358,-,0.672165,KEHOP,3500,20210630,20220630,20190701,20190701,3NP,3751,,0.74685,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIC074,Szomod - Szennyviztisztito Telep
60358,-,0.46594,KEHOP,2700,20210630,20220630,20181101,20190701,3NP,2980,,0.51771,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIA093,Tarjan - Szennyviztisztito Telep
60358,-,1.883875,KEHOP,6700,20210831,20220831,20171101,20171101,3NP,6700,,2.14681,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AHZ286,Ujbarok - Szennyviztisztito Telep
60358,-,10.865522,KEHOP,188959,20220731,20230731,20171101,20171101,3NP,163009,,11.437393,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB508,Vac - Szennyviztisztito Telep
60358,-,0.013903,KEHOP,5790,20221031,20231031,20190301,20200901,3P,5949,,0.01577,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB532,Vasvar - Szennyviztisztito Telep
60358,-,1.386055,KEHOP,7000,20210731,20220731,20171201,20180201,3NP,7102,,1.567637,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB541,Verseg - Szennyviztisztito Telep
60358,-,2.065497,KEHOP,15000,20210531,20220531,20180301,20180501,3NP,10000,,2.33225,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB547,Villany - Szennyviztisztito Telep
60370,,,,3800,20261231,20271231,20181231,20191231,3Nm,3509,0,0.783082,,,Building of a new wastewater plant ,0.783082,National budget,lack of waste water treatment,NC,RO08,ROWP_152573_01,ROWP Contesti
60370,,1.38311,CF,3000,20261231,20271231,20201231,20211231,2,2448,0,1.627188,,,Building of a new wastewater plant ,0.244078,National and local budget,lack of waste water treatment,NC,RO08,ROWP_18947_01,ROWP Stolnici
60370,,,,3500,20261231,20271231,20191231,20201231,3NPm,3414,0,0.8068988,,,Building of a new wastewater plant ,0.8068988,OF,Absence of UWWTP,NC,RO08,ROWP_152369_01,ROWP Calinesti
60370,,,,4000,20261231,20271231,20201231,20211231,2,3753,0,0.56452,,,Building of a new wastewater plant ,0.56452,National and local budget,lack of waste water treatment,NC,RO08,ROWP_126237_01,ROWP Colonesti-Barasti
60370,,0.876514,ERDF,6500,20261231,20271231,20201231,20211231,2,6025,0,0.876514,,,Building of a new wastewater plant ,,,Absence of UWWTP,NC,RO08,ROWP_103648_01,ROWP Hotarele 
60358,-,0,KEHOP,11040,20230430,20240430,20211001,20220401,3P,10164,,4.6,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB565,Zalaszentgrot - Szennyviztisztito Telep
60358,-,0.985975,KEHOP,5880,20210930,20220930,20181201,20190901,3NP,5880,,1.15997,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB571,Zamoly - Szennyviztisztito Telep
60358,-,15.216837,KEHOP,18800,20230930,20240930,20200901,20200901,3NP,18800,,17.911378,,,new treatment plant,,,-,NC,HU-91271CQ-2022a,HU-WWTP-ARX326,Zsambek Uj telep
60356,,1.304351,CF,2229,20291231,20301231,20231231,20240101,3N,2100,,1.534531,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO60705395114711,COV Kalinovo
60356,,1.471179,CF,3480,20291231,20301231,20231231,20240101,3N,3480,,1.730799,,,building of new WWTP,,,new requirements,NC,SK8,SKCAO20102495017352,COV Lehnice
60356,,1.069538,CF,1560,20291231,20301231,20231231,20240101,3N,4470,,1.25828,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO30703685141441,COV Liestany
60356,,1.279431,CF,2634,20251231,20261231,20230331,20230401,3N,2790,,1.505213,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO70105575195701,COV Malcov
60356,,2.151962,CF,3140,20291231,20301231,20231231,20240101,3N,4470,,2.53172,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO30703685142331,COV Nitrianske Rudno
60370,,,,3000,20261231,20271231,20201231,20211231,2,2471,0,0.632716,,,Building of a new wastewater plant ,0.632716,National and local budget,lack of waste water treatment,NC,RO08,ROWP_126335_01,ROWP Corbu
60370,,,,4000,20261231,20271231,20191231,20201231,3NPm,3415,0,0.785367,,,Building of a new wastewater plant ,0.785367,National budget,lack of waste water treatment,NC,RO08,ROWP_67130_01,ROWP Costesti din Vale
60370,,,,3500,20261231,20271231,20201231,20211231,2,3233,0,0.824838,,,Building of a new wastewater plant ,0.824838,OF,lack of waste water treatment,NC,RO08,ROWP_17977_01,ROWP Poienarii de Muscel
60370,,,,2700,20261231,20271231,20171231,20181231,3NPm,2610,0,1.391,,,Building of a new wastewater plant ,1.391,Own sources,lack of waste water treatment,NC,RO08,ROWP_20000_01,ROWP Vladesti
60356,,0.1615,CF,900,20291231,20301231,20231231,20240101,2,2390,,0.19,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO70705835249991,COV Ovcie
60356,,2.9376,CF,2500,20291231,20301231,20231231,20240101,2,4230,,3.456,,,building of new WWTP,,,new requirements,NC,SK8,SKCAO60305275089341,COV Predajna
60356,,1.970675,CF,4500,20291231,20301231,20231231,20240101,3N,2710,,2.318441,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO60605355117901,COV Radzovce
60356,,1.246256,CF,5000,20291231,20301231,20231231,20240101,3N,2780,,1.466183,,,expanding of WWTP,,,bad operation,NC,SK8,SKCAO81006465435191,COV Rudnany
60356,,5.867878,CF,15000,20241231,20251231,20221130,20221201,3NP,11200,,6.903386,,,expanding of WWTP,,,bad operation,NC,SK8,SKCAO20100255019051,COV Samorin
60356,,1.148838,CF,2490,20291231,20301231,20231231,20240101,3N,2490,,1.351574,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO70705825252601,COV Siroke
60356,,1.162445,CF,2530,20291231,20301231,20231231,20240101,3N,2530,,1.367582,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO30103135055521,COV Sisov
60356,,1.7,CF,4500,20261231,20271231,20240228,20240301,3N,3300,,2,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO81006475435941,COV Spisske Vlachy
60370,,,,4000,20261231,20271231,20201231,20211231,2,3396,0,0.399641,,,Building of a new wastewater plant ,0.399641,OF,lack of waste water treatment,NC,RO08,ROWP_104056_01,ROWP Letca Noua
60370,,,,4000,20261231,20271231,20201231,20211231,2,3650,0,0.6896,,,Building of a new wastewater plant ,0.6896,OF,lack of waste water treatment,NC,RO08,ROWP_105838_01_01,ROWP Galbinasi
60370,,,,6200,20261231,20271231,20171231,20181231,3NPm,3437,0,1.2074254,,,Building of a new wastewater plant ,1.2074254,National budget,Absence of UWWTP,NC,RO08,ROWP_17263_01,ROWP Mihaesti 
60356,,1.282502,CF,3000,20291231,20301231,20231231,20240101,2,2890,,1.508826,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO40404295035501,COV Strekov
60356,,4.08,CF,7400,20250930,20260930,20230831,20230901,3NP,4650,,4.8,,,building of new WWTP ,,,"absence of secondary treatment, absence of tertiary treatment, absence of removal P/N",NC,SK8,SKCAO40204095028631,COV Tlmace
60356,,3.791,CF,4500,20291031,20301031,20270331,20270401,3N,3320,,4.46,,,building of new WWTP,,,new requirements,NC,SK8,SKCAO30603445137414,COV Udica - nova
60356,,1.50875,CF,2210,20291231,20301231,20231231,20240101,3N,2020,,1.775,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO30703615144201,COV Valaska Bela
60356,,1.601619,CF,3783,20230831,20240831,20220731,20220801,3N,4260,,1.884258,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO40304175008871,COV Velke Zaluzie
60370,,,,2700,20261231,20271231,20191231,20201231,3Nm,2585,0,0.672406,,,Building of a new wastewater plant ,0.672406,National and local budget,lack of waste water treatment,NC,RO08,ROWP_67194_01,ROWP Crangurile
60370,,,,3500,20261231,20271231,20201231,20211231,2,3358,0,0.249717,,,Building of a new wastewater plant ,0.249717,OF,lack of waste water treatment,NC,RO08,ROWP_68538_01,ROWP Produlesti
60370,,,,3500,20261231,20271231,20201231,20211231,2,3093,0,0.865397,,,Building of a new wastewater plant ,0.865397,National budget,lack of waste water treatment,NC,RO08,ROWP_152537_01,ROWP Ciolanesti
60370,,,,3500,20261231,20271231,20201231,20211231,2,3316,0,0.540003,,,Building of a new wastewater plant ,0.540003,National budget,lack of waste water treatment,NC,RO08,ROWP_101993_01,ROWP Clejani
60370,,,,3300,20261231,20271231,20191231,20201231,3NPm,3123,0,0.444607,,,Building of a new wastewater plant ,0.444607,OF,lack of waste water treatment,NC,RO08,ROWP_154807_01,ROWP Troianul 
60370,,,,3500,20261231,20271231,20191231,20201231,3P,3039,0,0.866394,,,Building of a new wastewater plant ,0.866394,National budget,lack of waste water treatment,NC,RO08,ROWP_67684_01,ROWP Hulubesti
60370,,7.439985,CF,9900,20220101,20271231,20201231,20211231,2,8828,0,7.439985,,,Building of a new wastewater plant ,,,Absence of UWWTP,NC,RO08,ROWP_68477_01,ROWP Potlogi
60356,,3.366,CF,3300,20291231,20301231,20231231,20240101,3N,7200,,3.96,,,building of new WWTP,,,new requirements,NC,SK8,SKCAO40404315033801,COV Velky Kyr
60356,,1.40854,CF,2500,20291231,20301231,20231231,20240101,2,2390,,1.657106,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO70705835254131,COV Vitaz
60356,,1.785,CF,4430,20291231,20301231,20231231,20240101,3N,3010,,2.1,,,building of new WWTP,,,absence WWTP,NC,SK8,SKCAO40104035014171,COV Zemianska Olca
60356,,1.595944,CF,3517,20291231,20301231,20231231,20240101,3N,7750,,1.877582,,,building of new WWTP,,,not suitable constructional design,NC,SK8,SKCAO30703655144541,COV Zemianske Kostolany
60356,,4.4625,CF,6756,20270630,20280630,20241231,20250301,3N,4900,,5.25,,,expanding and intensification of WWTP,,,increased overload,C,SK8,SKCAO30803755128511,COV Belusa
60356,,3.658029,CF,55892,20291231,20301231,20231231,20240101,3NP,40800,,4.303564,,,expanding of WWTP,,,new requirements,C,SK8,SKCAO50200925091321,COV Cadca
60370,,,,3682,20261231,20271231,20191231,20201231,3NPm,3172,0,2.7581204,,,Building of a new wastewater plant ,2.7581204,National budget,lack of waste water treatment,NC,RO08,ROWP_154503_01,ROWP Storobaneasa 
60370,,,,3500,20261231,20271231,20171231,20181231,3NPm,2828,0,0.714556,,,Building of a new wastewater plant ,0.714556,National budget,lack of waste water treatment,NC,RO08,ROWP_66535_01,ROWP Candesti
60370,,,,3500,20261231,20271231,20191231,20201231,2,3269,0,0.399641,,,Building of a new wastewater plant ,0.399641,OF,lack of waste water treatment,NC,RO08,ROWP_105393_01,ROWP Soldanu
60370,,,,3500,20261231,20271231,20201231,20211231,3NPm,3092,0,1.4509734,,,Building of a new wastewater plant ,1.4509734,OF,lack of waste water treatment,NC,RO08,ROWP_152626_01,ROWP Crangeni
60370,,,,2020,20261231,20271231,20181231,20191231,3NPm,1978,0,1.362,,,Building of a new wastewater plant ,1.362,National budget,lack of waste water treatment,NC,RO08,ROWP_14414_01,ROWP Berevoesti 
60370,,1.140019,CF,3500,20261231,20271231,20201231,20211231,2,3252,0,1.140019,,,Building of a new wastewater plant ,,,Absence of UWWTP,NC,RO08,ROWP_104001_01,ROWP Joita  
60356,,0.85,CF,2500,20291231,20301231,20231231,20240101,3N,2120,,1,,,intensification of WWTP,,,obsolescence,C,SK8,SKCAO60705385113151,COV Cinobana
60356,,1.784796,CF,3365,20291231,20301231,20231231,20240101,3N,2070,,2.09976,,,expanding of WWTP,,,new requirements,C,SK8,SKCAO30703625139891,COV Dolne Vestenice
60356,,3.99142,CF,13000,20231231,20241231,20221231,20230101,3N,3180,,4.695789,,,expanding of WWTP,,,low capacity of WWTP ,C,SK8,SKCAO10602315078901,COV Gajary
60356,,0.729921,CF,2600,20291231,20301231,20231231,20240101,3N,2600,,0.85873,,,expanding of WWTP,,,new requirements,C,SK8,SKCAO61205505167591,COV Hodrusa - Hamre
60356,,6.743887,CF,5433,20291231,20301231,20231231,20240101,3NP,5210,,7.933985,,,expanding of WWTP,,,new requirements,C,SK8,SKCAO61308685817471,COV Horna Ves Kremnica
60356,,0.249043,CF,4000,20291231,20301231,20231231,20240101,3N,5900,,0.292992,,,expanding of WWTP,,,low capacity of WWTP ,C,SK8,SKCAO40604505429711,COV Hrusovany
60356,,0.690994,CF,2200,20291231,20301231,20231231,20240101,3N,2200,,0.812934,,,expanding of WWTP,,,low capacity of WWTP ,C,SK8,SKCAO70305635235261,COV Huncovce
60356,,0.85,CF,10000,20251231,20261231,20231231,20240101,2,2900,,1,,,expanding of WWTP,,,new requirements,C,SK8,SKCAO80606195596871,COV Kechnec - Milhost
60356,,2.186294,CF,3000,20291231,20301231,20231231,20240101,3N,2080,,2.572111,,,intensification of WWTP,,,obsolescence,C,SK8,SKCAO60705405114981,COV Kokava nad Rimavicou
60356,,0.85,CF,7000,20291231,20301231,20231231,20240101,2,7200,,1,,,expanding of WWTP,,,low capacity of WWTP ,C,SK8,SKCAO40404315032821,COV Komjatice
60370,,,,2500,20261231,20271231,20201231,20211231,2,2122,0,1.1487914,,,Building of a new wastewater plant ,1.14879104,National budget,lack of waste water treatment,NC,RO08,ROWP_16668_01,ROWP Hartiesti
60370,,,,3500,20261231,20271231,20201231,20211231,2,3190,0,0.6861348,,,Building of a new wastewater plant ,0.6861348,National budget,lack of waste water treatment,NC,RO08,ROWP_153482_01,ROWP Olteni 
60370,,0.12,CF,3500,20261231,20271231,20201231,20211231,2,3168,0,0.12,,,Building of a new wastewater plant ,,,Absence of UWWTP,NC,RO08,ROWP_103416_01,ROWP Gradinari
60370,,,,4000,20261231,20271231,20181231,20191231,3NPm,3233,0,0.815051,,,Building of a new wastewater plant ,0.815051,OF,lack of waste water treatment,NC,RO08,ROWP_19579_01,ROWP Ungheni
60370,,,,3200,20261231,20271231,20191231,20201231,3Nm,3026,0,0.686134,,,Building of a new wastewater plant ,0.686134,National budget,lack of waste water treatment,NC,RO08,ROWP_152519_01,ROWP Cervenia
60356,,2.763047,CF,27400,20291231,20301231,20231231,20240101,3NP,22810,,3.250644,,,expanding of WWTP,,,new requirements,C,SK8,SKCAO50401135092561,COV Kysucke Nove Mesto
60356,,1.220499,CF,6150,20291231,20301231,20231231,20240101,3N,6150,,1.435881,,,expanding of WWTP,,,low capacity of WWTP ,C,SK8,SKCAO50404645092641,COV Kysucky Lieskovec
60356,,2.21,CF,5837,20250731,20260731,20230430,20230501,3N,4840,,2.6,,,intensification and expanding of WWTP,,,increased overload,C,SK8,SKCAO30803805133261,COV Lednicke Rovne
60356,,0.7762,CF,4125,20241130,20251130,20230228,20230301,3N,3310,,0.913177,,,reconstruction of WWTP,,,obsolescence,C,SK8,SKCAO70305645236231,COV Lendak
60356,,,,8250,20291231,20301231,20231231,20240101,3NP,6520,,0.03,,,intensification of WWTP,0.03,own financial resources,obsolescence,C,SK8,SKCAO20302725072532,COV Leopoldov - nova
60356,,2.72,CF,4900,20291231,20301231,20231231,20240101,3N,3500,,3.2,,,expanding of WWTP,,,new requirements,C,SK8,SKCAO30803765133341,COV Luky
60356,,0.6375,CF,3750,20291231,20301231,20231231,20240101,3N,2790,,0.75,,,expanding of WWTP,,,low capacity of WWTP ,C,SK8,SKCAO40304145005771,COV Mojmirovce
60356,,,,5600,20221231,20231231,20220430,20220501,2,3290,,0.1863,,,reconstruction of WWTP,0.1863,own financial resources,obsolescence,C,SK8,SKCAO20502915045721,COV Moravsky Svaty Jan
60370,,,,6300,20261231,20271231,20171231,20181231,2,5887,0,0.993019,,,Building of a new wastewater plant ,0.993019,OF,lack of waste water treatment,NC,RO08,ROWP_129255_01,ROWP Serbanesti-Crampoia
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3608,20291231,20301231,20241231,20251231,2,3608,,2.61,,,construction of WWTP,2.61,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO20184_00_01,Kanalizacia Dve mogili
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3598,20291231,20301231,20241231,20251231,2,3598,,2.35,,,construction of WWTP,2.35,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO06505_00_01,Kanalizacia Brestovitsa
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3589,20291231,20301231,20241231,20251231,2,3589,,2.48,,,construction of WWTP,2.48,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO15944_00_01,Kanalizacia Shivachevo
60373,Project to be implemented after regional feasibility study,,,3574,20291231,20301231,20241231,20251231,2,3574,,2.59,,,construction of WWTP,2.59,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO20242_00_01,Kanalizacia Debelets
60373,Project to be implemented after regional feasibility study,,,3548,20291231,20301231,20241231,20251231,2,3548,,2.42,,,construction of WWTP,2.42,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO32024_00_01,Kanalizacia Ivaylovgrad
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3530,20291231,20301231,20241231,20251231,2,3530,,2.58,,,construction of WWTP,2.58,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO12543_00_01,Kanalizacia Vylchedrym
60373,Project to be implemented after regional feasibility study,,,3507,20291231,20301231,20241231,20251231,2,3507,,2.52,,,construction of WWTP,2.52,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO67088_00_01,Kanalizacia Slavyanovo
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3456,20291231,20301231,20241231,20251231,2,3456,,2,,,construction of WWTP,2,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO36676_00_01,Kanalizacia Katunitsa
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3432,20291231,20301231,20241231,20251231,2,3432,,2.23,,,construction of WWTP,2.23,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO70247_00_01,Kanalizacia Sungurlare
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3376,20291231,20301231,20241231,20251231,2,3376,,2.44,,,construction of WWTP,2.44,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO70648_00_01,Kanalizacia Sarnitsa
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3344,20291231,20301231,20241231,20251231,2,3344,,2.07,,,construction of WWTP,2.07,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO72789_00_01,Kanalizacia Topolovo
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3313,20291231,20301231,20241231,20251231,2,3313,,2.37,,,construction of WWTP,2.37,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO06306_00_01,Kanalizacia Breznitsa
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3307,20291231,20301231,20241231,20251231,2,3307,,2.55,,,construction of WWTP,2.55,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO03592_00_01,Kanalizacia Belovo
60373,Project to be implemented after regional feasibility study,,,3294,20291231,20301231,20241231,20251231,2,3294,,3.16,,,construction of WWTP,3.16,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO22006_00_01,Kanalizacia Dolna Banya
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3238,20291231,20301231,20241231,20251231,2,3238,,2.34,,,construction of WWTP,2.34,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO39089_00_01,Kanalizacia Kochan
60373,"The deadline will be updated with National investment plan, in fulfillment of the ""enabling conditions"" according to the Multiannual Financial Framework 2021-2027",,,3225,20291231,20301231,20241231,20251231,2,3225,,6.97,,,construction of WWTP,6.97,Flag Fund/National budget/own funds,Absence of UWWTP,NC,BG2022,BGCO02837_01_01,Kanalizacia Iazovir Batak
