ReportNetEnvelopeFileId,flarepCode,soecCapacity,soecCode,soecEndYear,soecEUFunds,soecInvCol,soecInvIAS,soecInvTp,soecJobs,soecLenghtCoCs,soecLenghtSaCs,soecLenghtStCs,soecNumbIAS,soecOpCosts,soecPeriod,soecPop,soecStartYear,soecInvComments
60342,FRR1,96447928,FRUWWINV2022,20221231,,3395,,2081,,,,,,,EXP,,20220101,Cf. note investissement France (pdf)
60342,FRR1,96447928,FRUWWINV2023,20231231,,3470,,2127,,,,,,,EXP,,20230101,Cf. note investissement France (pdf)
60342,FRR1,96447928,FRUWWINV2024,20241231,,3546,,2173,,,,,,,EXP,,20240101,Cf. note investissement France (pdf)
60350,LU100,1087565,LUUWWINV2018,20181231,0,50,0,35,0,0,0,0,0,0,P,602005,20180101,"price VAT not included, population at the 01.01.2018"
60350,LU100,1100000,LUUWWINV2019,20191231,0,40,0,35,0,0,0,0,0,0,CU,613894,20190101,"price VAT not included, population at the 01.01.2019"
60350,LU100,1110000,LUUWWINV2020,20201231,0,40,0,40,0,0,0,0,0,0,CU,626108,20200101,"price VAT not included, population at the 01.01.2020"
60350,LU100,1115000,LUUWWINV2021,20211231,0,30,0,25,0,0,0,0,0,0,EXP,634730,20210101,"price VAT not included, population at the 01.01.2021"
60350,LU100,1125000,LUUWWINV2022,20221231,0,35,0,30,0,0,0,0,0,0,EXP,645397,20220101,"price VAT not included, population at the 01.01.2022"
60350,LU100,1165000,LUUWWINV2023,20231231,0,30,0,35,0,0,0,0,0,0,EXP,654000,20230101,"price VAT not included, population at the 01.01.2023"
60350,LU100,1235000,LUUWWINV2024,20241231,0,30,0,40,0,0,0,0,0,0,EXP,663000,20240101,"price VAT not included, population at the 01.01.2024"
60350,LU100,1295000,LUUWWINV2025,20251231,0,30,0,60,0,0,0,0,0,0,EXP,672000,20250101,"price VAT not included, population at the 01.01.2025"
60349,EE2022,1725542,EEUWWINV2019,20191231,25.15,24.3,,0,,,,,,,P,1324820,20190101,Investment costs of collecting systems and treatment plants are combined.
60349,EE2022,1726825,EEUWWINV2020,20201231,7.74,32.41,,0,,,,,,,CU,1328889,20200101,Investment costs of collecting systems and treatment plants are combined.
60349,EE2022,1723329,EEUWWINV2021,20211231,0,41.56,,0,,,,,,,EXP,1330068,20210101,Investment costs of collecting systems and treatment plants are combined.
60349,EE2022,1723329,EEUWWINV2022,20221231,0,56.1,,0,,,,,,,EXP,1331796,20220101,Investment costs of collecting systems and treatment plants are combined.
60349,EE2022,1723329,EEUWWINV2023,20231231,0,15.75,,0,,,,,,,EXP,1331796,20230101,Investment costs of collecting systems and treatment plants are combined.
60348,DE_UWWT_2019,151814295,DEUWWINV2018,20191231,,2479,,1330,,,,,,,CU,,20190101,"soecCapicity: Betrifft derzeitige Ausbaugröße (Bemessungskapazität gemäß Genehmigungsbescheid) bezogen auf öffentliche Abwasserbehandlungsanlagen ab mindestens 50 EW (p.e.) Ausbaugröße; Datenquelle: Statistisches Bundesamt (Fachserie 19 Reihe 2.1.2) 2016; Erhebung alle 3 Jahre; soecInVCol und soecTp: wirtschaftliche Kennzahlen, darunter auch Investitionszahlen für den Bereich Abwasserentsorgung werden separat im Rahmen der Statistik des produzierenden Gewerbes (Fachserie 4 Reihe 6.1) jährlich seit 2008 vom Statistischen Bundesamt erhoben und publiziert. Die Berichte erscheinen frühestens 18 Monate nach Ablauf des Berichtzeitraumes. Vorher waren die Informationen unter """"""Energie- und Wasserversorgung"""""" subsumiert und daher nicht separat ausweisbar. Die Erhebungspflicht besteht für Unternehmen der Abwasserentsorgung, die eine jährliche Schmutzwassermenge von 200.000 m³ und mehr behandeln. Dies deckt sich in etwa mit dem Geltungsbereich der Kommunalabwasserrichtlinie. Ein wichtiges Ergebnis dieser Erhebung sind die getätigten Investitionen. Den größten Anteil bei den Investitionen haben die Investitionen in technische Anlagen und Maschinen. Diese werden in der Statistik separat ausgewiesen. Davon werden u.a. Investitionen in Leitungs- und Rohrnetz (Tabelle 2.6) separat ausgewiesen und hier als Investitionen in Kanalnetz angenommen. Die Angaben zu Investitionen in Anlagen ergeben sich aus der Differenz der Investitionen in technische Anlagen und Maschinen und in Kanalnetz(Tabelle 2.5). Zahlen zu geplanten Investitionen werden nicht erhoben und liegen daher nicht vor."
60347,SE369,14504769,SEUWWINV2020,20201231,,760,,236,,,,,,,CU,,20200101,"Unit: Million EUR. EURSEK FX-rate: 10.5

Estimated investment costs, VAT not included. Data collected through a national survey with approximately 76 % respondants on the questions concerning investment costs. Linear extrapolation within size-classes of WWTPs has been used to estimate costs for non-respondants. The organic design capacity is the value from the reporting of the UWWTD´s Article 15."
60347,SE369,14504769,SEUWWINV2021,20211231,,789,,480,,,,,,,EXP,,20210101,"Unit: Million EUR. EURSEK FX-rate: 10.5
 
Estimated investment costs, VAT not included. Data collected through a national survey with approximately 76 % respondants on the questions concerning investment costs. Linear extrapolation within size-classes of WWTPs has been used to estimate costs for non-respondants. The organic design capacity is the value from the reporting of the UWWTD´s Article 15."
60347,SE369,14504769,SEUWWINV2022_2026,20261231,,4314,,2627,,,,,,,EXP,,20220101,"Unit: Million EUR. EURSEK FX-rate: 10.5.

Estimated investment costs, VAT not included. Data collected through a national survey with approximately 76 % respondants on the questions concerning investment costs. Linear extrapolation within size-classes of WWTPs has been used to estimate costs for non-respondants. The organic design capacity is the value from the reporting of the UWWTD´s Article 15.

Assumption of mean yearly inflation rate used for estimates of future costs: 3 %."
60346,IE2020,6409152,IEUWWINV2020_2022,20221231,,495,,764,,,,,,,CU,,20200101,"The expected WWTP capacity by the end of 2022 comprises the installed capacity of 6,302,280 p.e. on the 01/01/2020 plus an expected additional installed capacity of 106,872 p.e. by the end of 2022. Collecting Systems investment comprises capital maintenance of €74M and capital investment & national programmes of €421M. WWTPs investment comprises capital maintenance €153M and capital investment & national programmes of €611M. All investments are in million euro and include VAT."
60346,IE2020,6975271,IEUWWINV2023_2027,20271231,,1688,,2145,,,,,,,EXP,,20230101,"The expected WWTP capacity by the end of 2027 comprises the expected installed capacity of 6,409,152 p.e. plus an expected additional installed capacity of 566,119 p.e. Collecting Systems investment comprises capital maintenance of €307M and capital investment & national programmes of €1,381M. WWTPs investment comprises capital maintenance €461M and capital investment & national programmes of €1,684M. All investments are in million euro and include VAT.*
*Figures for 2023-2027 are indicative, these will be further developed as Irish Water develops its next Investment Plan which will cover the period 2025 to 2029 (subject to Economic Regulator (Commission for Regulation of Utilities) confirmation. The indicative investment figures show an increase in projected investment in wastewater infrastructure from an average of c. €420m/annum in 2020-22 to an average of c. €770m/annum in 2023-27. The increase in projected investment in wastewater infrastructure in the 2023-27 period is also attributable to forecasted investment on a number of large scale projects including, Arklow WWTP, Ringsend WWTP, Athlone Main Drainage and the Greater Dublin Drainage project."
60345,NL2022,21800000,NLUWWINV2014,20141231,,1102,,220,,,,,,1663,P,16830000,20140101,"InvCol: Prijspeil 2012_exclusief BTW / InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 618 (exclusief BTW, prijspeil 2012) + rwzi's 1045 (lopende prijzen inclusief BTW)"
60345,NL2022,21800000,NLUWWINV2015,20151231,,1078,,247,1680,,,,,1654,P,16900000,20150101,"InvCol: Prijspeil 2012_exclusief BTW / InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 621 (exclusief BTW, prijspeil 2012) + rwzi's 1033 (lopende prijzen inclusief BTW) / Jobs: 1680 (fte) aantal jobs rwzi's"
60345,NL2022,21800000,NLUWWINV2016,20161231,,956,,252,,50000,22000,26000,27500,1581,P,16980000,20160101,InvCol en InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 543 + rwzi's 1038 (lopende prijzen inclusief BTW)
60345,NL2022,21800000,NLUWWINV2017,20171231,,883,,304,,,,,,1544,P,17080000,20170101,InvCol en InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 501 + rwzi's 1043 (lopende prijzen inclusief BTW)
60345,NL2022,21800000,NLUWWINV2018,20181231,,861,,303,1780,,,,,1552,P,17180000,20180101,InvCol en InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 489 + rwzi's 1063 (lopende prijzen inclusief BTW) / Jobs: 1780 (fte) aantal jobs rwzi's
60345,NL2022,21800000,NLUWWINV2019,20191231,,892,,324,,,,,,1612,P,17280000,20190101,InvCol en InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 506 + rwzi's 1110 (lopende prijzen inclusief BTW)
60345,NL2022,21800000,NLUWWINV2020,20201231,,910,,348,,,,,,1656,P,17410000,20200101,InvCol en InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 517 + rwzi's 1153 (lopende prijzen inclusief BTW)
60345,NL2022,21800000,NLUWWINV2021,20211231,,904,,311,1950,,,,,1685,CU,17480000,20210101,InvCol en InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 513 + rwzi's 1172 (lopende prijzen inclusief BTW) / Jobs: 1950 (fte) aantal jobs rwzi's
60345,NL2022,21800000,NLUWWINV2022,20221231,,923,,435,,,,,,1752,CU,,20220101,InvCol en InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 524 + rwzi's 1228 (lopende prijzen inclusief BTW)
60345,NL2022,21800000,NLUWWINV2023-2025,20251231,,2338,,1684,,,,,,,EXP,,20230101,
60360,AT_UWWTD_2020,21839213,ATUWWINV2021,20211231,,201,,19,,,,,,,CU,,20210101,"Die Daten für das Jahr 2021 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
60360,AT_UWWTD_2020,21888972,ATUWWINV2022,20221231,,218,,38,,,,,,,EXP,,20220101,"Die Daten für das Jahr 2022 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
60360,AT_UWWTD_2020,21938732,ATUWWINV2023,20231231,,220,,41,,,,,,,EXP,,20230101,"Die Daten für das Jahr 2023 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
60360,AT_UWWTD_2020,21988491,ATUWWINV2024,20241231,,222,,44,,,,,,,EXP,,20240101,"Die Daten für das Jahr 2024 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
60360,AT_UWWTD_2020,22038251,ATUWWINV2025,20251231,,224,,47,,,,,,,EXP,,20250101,"Die Daten für das Jahr 2025 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
60360,AT_UWWTD_2020,22088011,ATUWWINV2026,20261231,,226,,51,,,,,,,EXP,,20260101,"Die Daten für das Jahr 2026 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
60360,AT_UWWTD_2020,22137770,ATUWWINV2027,20271231,,228,,55,,,,,,,EXP,,20270101,"Die Daten für das Jahr 2027 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
60359,CZ1,14828588,CZUWWINV2020,20201231,354,300,0,190,123778,52067,,,,19543,CU,10360000,20200101,The expected investment costs within the subsidy programs in the period 2021-2027 (exchange rate 27 CZK / EURO) are stated.
60359,CZ1,14829862,CZUWWINV2021,20211231,,290,0,190,,,,,,,EXP,,20210101,
60359,CZ1,14829994,CZUWWINV2022,20221231,,290,0,190,,,,,,,EXP,,20220101,
60359,CZ1,14832647,CZUWWINV2023,20231231,,290,0,190,,,,,,,EXP,,20230101,
60359,CZ1,14836578,CZUWWINV2024,20241231,,280,0,190,,,,,,,EXP,,20240101,
60359,CZ1,14876501,CZUWWINV2025,20251231,,280,0,190,,,,,,,EXP,,20250101,
60359,CZ1,14895736,CZUWWINV2026,20261231,,280,0,190,,,,,,,EXP,,20260101,
60359,CZ1,14899862,CZUWWINV2027,20271231,,280,0,190,,,,,,,EXP,,20270101,
60358,HU-91271CQ-2022a,15097092,HUUWWINV2018_2023,20231231,277.702645,187.9426,,645.988675,,,,,,,CU,,20180101,-
60357,CY 2021 Art.17,1352749,CYUWWINV2021,20211231,0,0,,0,,,,,,,CU,,20210101,-
60357,CY 2021 Art.17,1673749,CYUWWINV2022,20221231,25.86,0,,47.79,,,,,,,CU,,20220101,"million euros, VAT included, Reference Date (06/2022)"
60357,CY 2021 Art.17,1765665,CYUWWINV2023,20231231,39.5,17.98,,41.27,,,,,,,EXP,,20230101,"million euros, VAT included, Reference Date (06/2022)"
60357,CY 2021 Art.17,1765665,CYUWWINV2024,20241231,0,0,,0,,,,,,,EXP,,20240101,-
60357,CY 2021 Art.17,1765665,CYUWWINV2025,20251231,0,0,,0,,,,,,,EXP,,20250101,-
60357,CY 2021 Art.17,1765665,CYUWWINV2026,20261231,0,126.42,,0,,,,,,,EXP,,20260101,"million euros, VAT included, Reference Date (06/2022)"
60357,CY 2021 Art.17,1827265,CYUWWINV2027,20271231,0,51.73,,47.34,,,,,,,EXP,,20270101,"million euros, VAT included, Reference Date (06/2022)"
60357,CY 2021 Art.17,2013932,CYUWWINV2028,20281231,0,0,,42.47,,,,,,,EXP,,20280101,"million euros, VAT included, Reference Date (06/2022)"
60357,CY 2021 Art.17,2013932,CYUWWINV2029,20291231,0,115.53,,0,,,,,,,EXP,,20290101,"million euros, VAT included, Reference Date (06/2022)"
60356,SK8,7299471,SKUWWINV2012_2018,20181231,,717,,307,,,,,,,P,,20120101,"investments for collecting systems and UWWTPs were divided by estimation, because they were calculated together so far; VAT is included in case the recipient of financial grant is municipality"
60356,SK8,6548827,SKUWWINV2019_2020,20201231,,123,,53,,,,,,,CU,,20190101,"investments for collecting systems and UWWTPs were divided by estimation, because they were calculated together so far; VAT is included in case the recipient of financial grant is municipality"
60356,SK8,7162168,SKUWWINV2021_2030,20301231,597.86,558.87,,161.82,,,,,,,EXP,,20210101,VAT is included in case the recipient of financial grant is municipality 
60355,DK2020,11450300,DKUWWIN2010,20101231,,320,,160,,,,,,,P,,20100101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,11450300,DKUWWIN2011,20111231,,440,,220,,,,,,,P,,20110101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,11450300,DKUWWIN2012,20121231,,480,,240,,,,,,,P,,20120101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,11450300,DKUWWIN2013,20131231,,507,,253,,,,,,,CU,,20130101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60353,ES,8517053,ESUWWINV2021,20211231,0,433.5,0.4,807.4,,0,0,,,72.3,EXP,,20210101,
60355,DK2020,11307100,DKUWWIN2014,20141231,,533,,266,,,,,,,CU,,20140101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,11307100,DKUWWIN2015,20151231,,612,,306,,,,,,,CU,,20150101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,11371338,DKUWWIN2016,20161231,,510,,255,,,,,,,CU,,20160101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,11436238,DKUWWIN2017,20171231,,511,,256,,,,,,,CU,,20170101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60353,ES,8517053,ESUWWINV2022,20221231,0,513.1,0,1130.3,,0,0,,,122.3,EXP,,20220101,
60355,DK2020,11436238,DKUWWIN2018,20181231,,457,,228,,,,,,,CU,,20180101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,11436238,DKUWWIN2019,20191231,,645,,322,,,,,,,CU,,20190101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,12083334,DKUWWIN2020,20201231,,507,,253,,,,,,,CU,,20200101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,12083334,DKUWWIN2021,20211231,,502,,250,,,,,,,EXP,,20210101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60353,ES,8517053,ESUWWINV2023,20231231,0,513.1,0,1130.3,,0,0,,,122.3,EXP,,20230101,
60355,DK2020,12083334,DKUWWIN2022,20221231,,502,,250,,,,,,,EXP,,20220101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60355,DK2020,12083334,DKUWWIN2023,20231231,,502,,250,,,,,,,EXP,,20230101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
60354,BE-2,3310479,BEUWWINV2010_W,20101231,,51.7,,245.7,,,,,,,P,,20100101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2010 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investmenent costs: costs of works and costs related."
60354,BE-2,3509534,BEUWWINV2011_W,20111231,,48.1,,214.4,,,,,,,P,,20110101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2011 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investmenent costs: costs of works and costs related."
60354,BE-2,3742859,BEUWWINV2012_W,20121231,,48.3,,211.3,,,,,,,P,,20120101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2012 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investmenent costs: costs of works and costs related."
60354,BE-2,3948791,BEUWWINV2013_W,20131231,,60.5,,195.5,,,,,,,P,,20130101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2013 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investmenent costs: costs of works and costs related."
60354,BE-2,3985096,BEUWWINV2014_W,20141231,,60.3,,155.7,,,,,,,P,,20140101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2014 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investmenent costs: costs of works and costs related."
60354,BE-2,4026431,BEUWWINV2015_W,20151231,,42,,109.6,,,,,,,P,,20150101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2015 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investmenent costs: costs of works and costs related."
60354,BE-2,4066465,BEUWWINV2016_W,20161231,,36.3,,78.1,,,,,,,P,,20160101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2016 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investmenent costs: costs of works and costs related."
60354,BE-1,1460000,BEUWWINVSEWERS2012_2019,20121231,,5.4,,0,,,,,,,P,,20120101,renovation and rehabilitation of the sewer network - VAT not included
60354,BE-2,4079697,BEUWWINV2017_W,20171231,,53.3,,67.3,,,,,,,P,,20170101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2017 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investmenent costs: costs of works and costs related."
60354,BE-2,4112097,BEUWWINV2018_W,20181231,,58.5,,60.4,,,,,,,P,,20180101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2018 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-2,4115213,BEUWWINV2019_W,20191231,,52,,61.5,,,,,,,P,,20190101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2019 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-2,4121963,BEUWWINV2020_W,20201231,,50.5,,48.5,,,,,,,P,,20200101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2020 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-2,4130151,BEUWWINV2021_W,20211231,,46.5,,58.6,,,,,,,P,,20210101,"Wallonia Region. Actual investments costs: sum of all final paiements of the year 2021 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-2,4138063,BEUWWINV2022_W,20221231,,50.8,,81.2,,,,,,,CU,,20220101,"Wallonia Region. Estimated investments costs: annual forecasts of investment expenses related to collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-2,4145975,BEUWWINV2023_W,20231231,,50.8,,81.2,,,,,,,EXP,,20230101,"Wallonia Region. Estimated investments costs: annual forecasts of investment expenses related to collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-2,4153887,BEUWWINV2024_W,20241231,,50.8,,81.2,,,,,,,EXP,,20240101,"Wallonia Region. Estimated investments costs: annual forecasts of investment expenses related to collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-2,4161799,BEUWWINV2025_W,20251231,,50.8,,81.2,,,,,,,EXP,,20250101,"Wallonia Region. Estimated investments costs: annual forecasts of investment expenses related to collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-2,4169711,BEUWWINV2026_W,20261231,,50.8,,81.2,,,,,,,EXP,,20260101,"Wallonia Region. Estimated investments costs: annual forecasts of investment expenses related to collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-2,4177623,BEUWWINV2027_W,20271231,,50.8,,81.2,,,,,,,EXP,,20270101,"Wallonia Region. Estimated investments costs: annual forecasts of investment expenses related to collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
60354,BE-1,1460000,BEUWWINVSEWERS2012_2019,20131231,,1.3,,0,,,,,,,P,,20130101,renovation and rehabilitation of the sewer network - VAT not included
60354,BE-3,5018304,BEUWWINV2012-3,20121231,,134.3,,40.2,,,,,,,P,,20120101,"actual investment cost, sum of all final payments of projects completed by Aquafin in 2012, commissioned by the Flemish Region, reference date 12/2012, VAT not included "
60354,BE-3,5089167,BEUWWINV2013-3,20131231,,106.9,,28.1,,,,,,,P,,20130101,"actual investment cost, sum of all final payments of projects completed by Aquafin in 2013, commissioned by the Flemish Region, reference date 12/2013, VAT not included "
60354,BE-3,5155186,BEUWWINV2014-3,20141231,,99,,19.2,,,,,,,P,,20140101,"actual investment cost, sum of all final payments of projects completed by Aquafin in 2014, commissioned by the Flemish Region, reference date 12/2014, VAT not included"
60354,BE-3,5256822,BEUWWINV2015-3,20151231,,106.5,,44.8,,,,,,,P,,20150101,"actual investment cost, sum of all final payments of projects completed by Aquafin in 2015, commissioned by the Flemish Region, reference date 12/2015, VAT not included"
60354,BE-3,5362540,BEUWWINV2016-3,20161231,,115.7,,32.8,,,,,,,P,,20160101,"Flemish Region: actual investment cost under the Optimization program (OP) (sum of all final payments of OP-projects completed by Aquafin in 2016, commissioned by the Flemish Region,  reference date 12/2016) + estimated investment costs for Asset Management-projects in 2016 (reference date 12/2016, VAT not included)."
60354,BE-3,5408943,BEUWWINV2017-3,20171231,,120,,48,,,,,,,P,,20170101,"Flemish Region: actual investment cost under the Optimization program (OP) (sum of all final payments of OP-projects completed by Aquafin in 2017, commissioned by the Flemish Region,  reference date 12/2017) + estimated investment costs for Asset Management-projects in 2017(reference date 12/2017, VAT not included)."
60354,BE-3,5446606,BEUWWINV2018-3,20181231,,133.57,,45.88,,,,,,,P,,20180101,"Flemish Region: actual investment cost under the Optimization program (OP) (sum of all final payments of OP-projects completed by Aquafin in 2018, commissioned by the Flemish Region,  reference date 12/2018) + estimated investment costs for Asset Management-projects in 2018 (reference date 12/2018, VAT not included)."
60354,BE-3,5489977,BEUWWINV2019-3,20191231,,139.85,,36.11,,,,,,,P,,20190101,"Flemish Region: actual investment cost under the Optimization program (OP) (sum of all final payments of OP-projects completed by Aquafin in 2019, commissioned by the Flemish Region,  reference date 12/2019) + estimated investment costs for Asset Management-projects in 2019 (reference date 12/2019, VAT not included)."
